工程地质,202020212090113000101,1-17周 星期一 第11-12节 致理楼L3-308,"姬凤玲"
工程地质,202020212090113000102,1-17周 星期一 第3-4节 致理楼L3-316,"姬凤玲"
工程地质,202020212090113000103,1-17周 星期一 第1-2节 致理楼L3-317,"姬凤玲"
工程地质,202020212090113000104,1-17周 星期二 第9-10节 致理楼L3-316,"姬凤玲"
工程地质,202020212090113000105,1-17周 星期二 第11-12节 致理楼L3-409,"姬凤玲"
社会调查方法,202020212030112000101,1-17周 星期三 第7-8节 致理楼L3-315,1-17周 星期五 第7-8节 致理楼L3-315,"黄斌欢"
社会调查方法,202020212030112000102,1-17周 星期三 第7-8节 致理楼L3-311,1-17周 星期一 第3-4节 致理楼L3-311,"黄国英"
工程测量,202020212090075000101,1-17周 星期一 1-2节 致理楼L2-411,1-18周(单) 星期一 9-10节 ,"丁小波"
工程测量,202020212090075000102,1-17周 星期一 7-8节 致理楼L2-410,2-16周(双) 星期一 9-10节 ,"丁小波"
工程测量,202020212090075000103,1-18周(单) 星期四 7-8节 ,1-17周 星期三 7-8节 致理楼L2-409,"李伟文"
工程测量,202020212090075000104,2-16周(双) 星期四 7-8节 ,1-17周 星期三 9-10节 致理楼L3-314,"李伟文"
工程测量,202020212090075000105,1-17周 星期一 7-8节 致理楼L3-309,1-18周(单) 星期一 9-10节 ,"刘军"
工程测量,202020212090075000106,2-16周(双) 星期一 9-10节 ,1-17周 星期一 1-2节 致理楼L3-313,"刘军"
电子专业导引,202020212160212000101,1-9周 星期四 第1-2节 致理楼L1-201,"杜戈果,张登国,WENLONG HE,曹文华,葛磊,舒国响,吴迪,孙宇祥"
电子专业导引,202020212160212000102,1-9周 星期一 第9-10节 致理楼L3-508,"冯波涛,WENLONG HE,张登国,曹文华,葛磊,舒国响,吴迪,孙宇祥"
C程序设计,202020212130005001001,1-17周 星期四 第7-8节 汇紫楼C409,1-17周 星期四 第9-10节 汇紫楼D506,"裴继红"
C程序设计,202020212130005001002,1-17周 星期四 第7-8节 汇紫楼C414,1-17周 星期四 第9-10节 汇紫楼D506,"李良群"
C程序设计,202020212130005001003,1-17周 星期四 第7-8节 汇紫楼C505,1-17周 星期四 第9-10节 汇紫楼D506,"邹文斌"
C程序设计,202020212130005001004,1-17周 星期四 第9-10节 汇紫楼D506,1-17周 星期四 第7-8节 汇紫楼C305,"刘宗香"
C程序设计,202020212130005001005,1-17周 星期五 第7-8节 汇紫楼C405,1-17周 星期五 第9-10节 汇紫楼D506,"代明军"
C程序设计,202020212130005001006,1-17周 星期五 第9-10节 汇紫楼D506,1-17周 星期五 第7-8节 汇紫楼C407,"张胜利"
C程序设计,202020212130005001007,1-17周 星期五 第7-8节 汇紫楼C409,1-17周 星期五 第9-10节 汇紫楼D506,"张金凤"
C程序设计,202020212130005001008,1-17周 星期五 第7-8节 汇紫楼C414,1-17周 星期五 第9-10节 汇紫楼D506,"彭长艳"
商法学,202020212030106000101,1-17周 星期一 第9-10节 汇文楼H1-204,1-17周 星期四 第9-10节 汇文楼H1-204,"蔡元庆"
商法学,202020212030106000102,1-17周 星期三 第7-8节 汇文楼H2-303,1-17周 星期一 第9-10节 汇文楼H2-303,"齐砺杰"
商法学,202020212030106000103,1-17周 星期三 第9-10节 汇文楼H1-103,1-17周 星期一 第11-12节 汇文楼H1-103,"齐砺杰"
商法学,202020212030106000104,1-17周 星期一 第9-10节 汇文楼H1-302,1-17周 星期四 第7-8节 汇文楼H1-302,"金洪玉"
商法学,202020212030106000105,1-17周 星期一 第11-12节 汇文楼H2-303,1-17周 星期四 第9-10节 汇文楼H2-303,"金洪玉"
商法学,202020212030106000106,1-17周 星期一 第11-12节 汇文楼H-05,1-17周 星期三 第3-4节 汇文楼H-05,"薛波"
财务管理,202020212040834000101,1-17周 星期三 第3-4节 汇文楼H-01,"初大智"
体育社会学,202020212060068000101,1-17周 星期四 第3-4节 师院A305,"张雪芹"
货币金融学,202020212190367000101,1-17周 星期一 第1-2节 汇紫楼C411,1-17周 星期三 第3-4节 汇紫楼C411,"杨凌"
刑法学（1）,202020212030160000101,1-17周 星期一 第3-4节 汇文楼H1-101,1-17周 星期三 第3-4节 汇文楼H1-101,"曾月英"
